AUTHORS,YEAR,TITLE,JOURNAL,LPAGES,UPAGES,DOI,ABSTRACT,id,include,screened_by,notes,include_article_review,exclude_reason,note,exclude_reason_original
"Uri Sheyn, Shilo Rosenwasser, Yoav Lehahn, Noa Barak-Gavish, Ron Rotkopf, Kay D. Bidle, Ilan Koren, Daniella Schatz, Assaf Vardi",2018,Expression profiling of host and virus during a coccolithophore bloom   provides insights into the role of viral infection in promoting carbon   export,ISME JOURNAL,704-713,704-713,10.1038/s41396-017-0004-x,"The cosmopolitan coccolithophore Emiliania huxleyi is a unicellular   eukaryotic alga that forms vast blooms in the oceans impacting large   biogeochemical cycles. These blooms are often terminated due to   infection by the large dsDNA virus, E. huxleyi virus (EhV). It was   recently established that EhV-induced modulation of E. huxleyi   metabolism is a key factor for optimal viral infection cycle. Despite   the huge ecological importance of this host-virus interaction, the   ability to assess its spatial and temporal dynamics and its possible   impact on nutrient fluxes is limited by current approaches that focus on   quantification of viral abundance and biodiversity. Here, we applied a   host and virus gene expression analysis as a sensitive tool to quantify   the dynamics of this interaction during a natural E. huxleyi bloom in   the North Atlantic. We used viral gene expression profiling as an index   for the level of active infection and showed that the latter correlated   with water column depth. Intriguingly, this suggests a possible sinking   mechanism for removing infected cells as aggregates from the E. huxleyi   population in the surface layer into deeper waters. Viral infection was   also highly correlated with induction of host metabolic genes involved   in host life cycle, sphingolipid, and antioxidant metabolism, providing   evidence for modulation of host metabolism under natural conditions. The   ability to track and quantify defined phases of infection by monitoring   co-expression of viral and host genes, coupled with advance omics   approaches, will enable a deeper understanding of the impact that   viruses have on the environment.",109,MAYBE,IF,can't tell if they have evidence of E. huxleyi / Eh virus affecting stock/flux,NO,data on PP but not on ecosystem processes affected by PP,,"no data on ecosystem function, only infection"
"Petter D. Jenssen, Tore Krogstad, Adam M. Paruch, Trond Maehlum, Kinga Adam, Carlos A. Arias, Arve Heistad, Lena Jonsson, Daniel Hellstrom, Hans Brix, Markku Yli-Halla, Lasse Vrale, Matti Valve",2010,Filter bed systems treating domestic wastewater in the Nordic countries   - Performance and reuse of filter media,ECOLOGICAL ENGINEERING,1651-1659,1651-1659,10.1016/j.ecoleng.2010.07.004,"Nine filter beds have been constructed in the Nordic countries, Denmark,   Finland, Norway and Sweden. Filter beds consist of a septic tank   followed by an aerobic pre-treatment biofilter and a subsequent   saturated flow grass-covered filter. Thus, filter beds are similar to   subsurface flow constructed wetlands with pre-treatment biofilters. but   do not have wetland plants with roots submerged into the saturated   filter. All saturated filters contain Filtralite (R) P. a light-weight   expanded clay aggregate possessing high phosphorus sorption capacity.   The filter bed systems showed stable and consistent performance during   the. testing period of 3 years. Removal of organic matter measured as   biochemical oxygen demand (BUD) was >80\%, total phosphorus (TP) >94\%   and total nitrogen (TN) ranged from 32 to 66\%. Effluent concentrations   of fecal indicator bacteria met the European bathing water quality   criteria in all systems. One system was investigated for virus removal   and somatic viruses were not detected in the effluent. The   investigations revealed that the majority of the BOD and nitrogen   removal occurred in the pre-treatment filters and the phosphorus and   bacteria removal was more prominent in the saturated filters. The   saturated filters could be built substantially smaller than the current   design guidelines without sacrificing treatment performance. The used   filter material met the Norwegian regulations for reuse in agriculture   with respect to heavy metals, bacteria and parasites. When saturated   with phosphorus, the light-weight aggregate. Filtralite (R) P used in   the saturated bed is a suitable phosphorus fertilizer and additionally   has a liming effect. (C) 2010 Elsevier B.V. All rights reserved.",110,NO,IF,,,,,
"Anais Gibert, Daniele Magda, Laurent Hazard",2013,Endophytic fungus fine-tunes the persistence strategy of its alpine host   grass in response to soil resource levels,OIKOS,367-376,367-376,10.1111/j.1600-0706.2012.19976.x,"An understanding of hereditary endophytic fungi, and the effects on   grass persistence strategies (i.e. relative investment in sexual   reproduction and vegetative growth) under natural conditions may help to   predict how some alpine ecosystems will respond to environmental change.   Grass persistence and endophyte maintenance in host populations are   closely related, but could become independent due to endophyte loss   mechanisms. We used native grass and endophyte populations to test the   hypothesis that fungal endophytes manipulate grass persistence   strategies to secure endophyte maintenance in plant populations. Two   conditions were required to verify this hypothesis: 1) the fungus caused   alterations in host plant strategies; and 2) plant phenotypic changes   induced by the fungal endophyte increased endophyte transmission. We   compared symbiotic (S) and non-symbiotic (NS) persistence strategies of   Festuca eskia (Poaceae), an alpine grass infected by the asexual form of   the fungal endophyte Epichloe festucae. We characterised endophyte   transmission efficiency, and described vegetative growth and sexual   reproduction in a field population that naturally supports approximately   50\% S plants. We built a demographic model to estimate plant vegetative   growth rates. A correlation between plant persistence strategy, and   fungal maintenance was evaluated by increasing soil resource levels.   Under natural conditions, S and NS plants exploited different   persistence strategies in the same population; S plants exhibited   greater vegetative growth than their NS counterparts, while maintaining   the same reproductive output. In response to higher soil resource   levels, S plants shifted in persistence strategies and phenology,   whereas NS plants maintained the same strategies. Therefore, results   suggested the fungal endophyte fine-tuned host persistence strategies   according to soil resource level. Finally, we found no direct   relationship between the changes induced by fungal endophyte and   endophyte transmission. Consequently, fungal endophytes affected host   persistence strategies, but did not directly increase endophyte   transmission.",111,NO,IF,,,,,
"Peter B. Banks, Helen M. Smith",2015,"The ecological impacts of commensal species: black rats, Rattus rattus,   at the urban-bushland interface",WILDLIFE RESEARCH,86-97,86-97,10.1071/WR15048,"Exotic species have had devastating impacts worldwide and are a major   threat to native wildlife. Human commensal species (hereafter   commensals) are a special class of exotic species that live largely off   the resources associated with human activity. The encroachment of   commensals from an urban area into surrounding bushland has been   frequently overlooked as an important component of urban impacts, even   though human-commensals are common to many urban regions globally. In   this review, we present theoretical and empirical evidence for the   processes and outcomes occurring when exotic commensal species encroach   into native bushland. Specifically we ask when, how and why exotic   commensal species encroach into bushland, what determines whether they   establish, and what are the ecological consequences. We focus on the   black rat, Rattus rattus, arguably the archetypal commensal species with   a cosmopolitan distribution and the greatest potential for ecological   damage of all the commensal rodents. We expect that the processes that   we outline apply to other commensal species more broadly. We argue that   commensals are in fact natives of the urban milieu and only become alien   when they encroach into peri-urban bushland. We propose that the   mechanisms of this encroachment will be different from those of other,   non-commensal exotic species because urban areas act as dispersal hubs   to overcome many of the barriers of invasion that other exotic species   face. We suggest that resource supplementation by urban areas creates a   great potential for promoting encroachment, invasion as well as impact.   However, biotic and abiotic barriers to invasion are still relevant for   commensals, highlighting the need to maintain the integrity of   ecosystems and wildlife populations in urban edges so as to prevent   commensal incursion. We examine how commensal black rats affect wildlife   via three fundamental mechanisms, namely, predation, disease transfer   and competition for resources, and also consider their possible positive   impacts acting as functional replacements for lost natives. We conclude   the review with an outline of research priorities and future directions   that are essential for progressing our understanding of the ecology of   commensal species.",112,NO,IF,,,,,
"Gina M. Wimp, Shannon M. Murphy, Deborah L. Finke, Andrea F. Huberty, Robert F. Denno",2010,Increased primary production shifts the structure and composition of a   terrestrial arthropod community,ECOLOGY,3303-3311,3303-3311,10.1890/09-1291.1,"Numerous studies have examined relationships between primary production   and biodiversity at higher trophic levels. However, altered production   in plant communities is often tightly linked with concomitant shifts in   diversity and composition, and most studies have not disentangled the   direct effects of production on consumers. Furthermore, when studies do   examine the effects of plant production on animals in terrestrial   systems, they are primarily confined to a subset of taxonomic or   functional groups instead of investigating the responses of the entire   community. Using natural monocultures of the salt marsh cordgrass   Spartina alterniflora, we were able to examine the impacts of increased   plant production, independent of changes in plant composition and/or   diversity, on the trophic structure, composition, and diversity of the   entire arthropod community. If arthropod species richness increased with   greater plant production, we predicted that it would be driven by: (1)   an increase in the number of rare species, and/or (2) an increase in   arthropod abundance. Our results largely supported our predictions:   species richness of herbivores, detritivores, predators, and parasitoids   increased monotonically with increasing levels of plant production, and   the diversity of rare species also increased with plant production.   However, rare species that accounted for this difference were predators,   parasitoids, and detritivores, not herbivores. Herbivore species   richness could be simply explained by the relationship between abundance   and diversity. Using nonmetric multidimensional scaling (NMDS) and   analysis of similarity (ANOSIM), we also found significant changes in   arthropod species composition with increasing levels of production. Our   findings have important implications in the intertidal salt marsh, where   human activities have increased nitrogen runoff into the marsh, and   demonstrate that such nitrogen inputs cascade to affect community   structure, diversity, and abundance in higher trophic levels.",113,NO,IF,,,,,
"Paul C. Frost, Dieter Ebert, Val H. Smith",2008,Bacterial infection changes the elemental composition of Daphnia magna,JOURNAL OF ANIMAL ECOLOGY,1265-1272,1265-1272,10.1111/j.1365-2656.2008.01438.x,"1. An animal's elemental composition can be an important indicator of   its physiological state and role in ecosystem nutrient cycling. We   examined the interactive effects of bacterial (Pasteuria ramosa)   infection and phosphorus (P)-poor food on the body stoichiometry of   Daphnia magna. Daphnia were exposed to or held free of a bacterial   parasite and fed algal food of different C:P ratios (100-500) over a   28-day period.   2. To assess the effects of exposure and infection on Daphnia   stoichiometry, we measured their whole body content of carbon (C),   nitrogen (N), and P on four different days (4, 8, 15, and 28) during the   experiment.   3. We found strong effects of infection, food quality, and/or their   interactions on the C, N, and P content of Daphnia, especially as the   infectious disease progressed. At the end of the experiment, infected   animals had significantly more C and less P in their bodies than   uninfected conspecifics. Body N content of Daphnia consuming P-rich food   was reduced by bacterial infection whereas Daphnia consuming P-poor   algae showed increased body N content from infection.   4. Using a mass-balance model, we found that changes in N and P content   of host bodies were largely accountable by disease-induced alterations   to Daphnia reproduction (i.e. bacterial induced sterility) and the   accumulation of Pasteuria spores in the body cavity. Our calculations   also show that the observed increase in host C content could not be   accounted for by loss of eggs or accumulation of bacterial spores. This   instead must result from unidentified changes to underlying daphnid   tissue C content.   5. These results demonstrate that intraspecific variation in zooplankton   body stoichiometry can be caused by exposure to and infection by   bacterial parasites. In addition, these effects were found to depend   both upon the stage of the disease and upon the food quality consumed by   the host.",114,MAYBE,IF,parasite/pathogen affecting stoichiometry of host,yes,,,
"Avinash M. Kadam, Goldie H. Oza, Pravin D. Nemade, Hariharan S. Shankar",2008,Pathogen removal from municipal wastewater in Constructed Soil Filter,ECOLOGICAL ENGINEERING,37-44,37-44,10.1016/j.ecoleng.2007.12.001,"In this work, a Constructed Soil Filter (CSF) system has been configured   for the treatment of wastewater wherein we recreate a soil ecosystem for   water purification. Purification capacity and seasonal variability of   three such CSF facilities for indicator organisms as well as enteric   pathogens monitored over 9-17 months are presented. Indicator organisms   include total coliform, fecal coliform, fecal streptococci,   heterotrophic plate count, Enterococcus fecalis, actinomycetes, and   coliphage. Enteric pathogens include Escherichia coli 25922, E. coli   O157:147, Klebsiella pneumoniae, Pseudomonas aeruginosa, Clostridium   perfringens, Staphylococcus aureus, Proteus mirabilis. All three sites   show bacterial removal rate constant (k(d)) in the range of 0.4-1.3h(-1)   which is very high in comparison to the reported values from field as   well as lab studies. Log removal for pathogens is typically 2-3 log   orders. However, by extended recycling up to 5 log orders removal could   be achieved. Among the three sites, k(d) values were in the order of   site II > site I > site III, which is also the order of their   commissioning, suggesting that these system matures with age. Low   hydraulic retention time (0.5-2.0h), no pretreatment, high removal   efficiency, no mechanical aeration, very low energy requirement, and   green ambience are the unique features of CSF. (C) 2008 Published by   Elsevier B.V.",115,NO,IF,,,,,
"M. Kocsis, L. Hufnagel",2011,IMPACTS OF CLIMATE CHANGE ON LEPIDOPTERA SPECIES AND COMMUNITIES,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,43-72,43-72,10.15666/aeer/0901\_043072,"In this review, the impacts of climate change on Lepidoptera species and   communities are summarized, regarding already registered changes in case   of individual species and assemblies, and possible future effects. These   include changes in abundance, distribution ranges (altitude above sea   level, geographical distribution), phenology (earlier or later flying,   number of generations per year). The paper also contains a short   description of the observed impacts of single factors and conditions   (temperature, atmospheric CO2 concentration, drought, predators and   parasitoids, UV-B radiation) affecting the life of moths and   butterflies, and recorded monitoring results of changes in the   Lepidoptera communities of some observed areas. The review is closed   with some theoretical considerations concerning the characteristics of   ``winner'' species and also the features and conditions needed for a   successful invasion, conquest of new territories.",116,NO,IF,,,,,
"Ragupathy Kannan, Douglas A. James",2009,Effects of climate change on global biodiversity: a review of key   literature,TROPICAL ECOLOGY,31-39,31-39,NA,"There is very little doubt among the scientific community that   human-induced greenhouse gas emission has contributed significantly to   the climate change. Most significant changes in the earth's temperature   have been noticed since the advent of the industrial era in the late   1800s. Over the past 100 years, the earth's surface has warmed by   approximately 0.6 degrees C. Human activities such as the large-scale   burning of fossil fuels to operate power plants and automobiles are   releasing greenhouse gases like CO(2) into the atmosphere at an   unprecedented rate. Humans are currently releasing 70 million tonnes of   CO(2) per day into the atmosphere. This paper draws from the major   papers that have appeared in journals on this topic over the past two   decades, and gives an overview of anthropogenic climate change and its   impact on a wide variety of life-forms in various ecosystems. After a   brief overview of climate change and its causes, focus is given to   amphibian extinctions in Central America, the poleward and altitudinal   shifts in the distribution of various organisms (especially   butterflies), the. spread of pathogen-driven diseases, the bleaching of   coral reefs, and the changes in community and trophic dynamics in   various marine and terrestrial ecosystems.",117,NO,IF,,,,,
"Scott Connelly, Catherine M. Pringle, Thomas Barnum, Meshagae Hunte-Brown, Susan Kilham, Matt R. Whiles, Karen R. Lips, Checo Colon-Gaud, Roberto Brenes",2014,Initial versus longer-term effects of tadpole declines on algae in a   Neotropical stream,FRESHWATER BIOLOGY,1113-1122,1113-1122,10.1111/fwb.12326,"Information about temporal patterns of ecological responses to species   losses is integral to our understanding of the ultimate effects of   declining biodiversity. As part of the Tropical Amphibian Declines in   Streams (TADS) project, we quantified changes in algal biomass and N   cycling in algae in upland Panamanian streams following the widespread   decline of larval anurans.   Reach-scale monitoring during and after a catastrophic, disease-driven   amphibian decline showed significant 2.8-fold increases (P<0.05) in   algal biomass in pools and 6.3-fold increases in riffles in the 5months   following the decline. 3years after the decline, the magnitude of this   initial change dampened to increases (P<0.05) of 2-fold in pools and   3.5-fold in riffles over pre-decline levels. Similarly, total organic   matter of benthic biofilms, measured as ash-free dry mass (AFDM),   increased significantly by 2.2-fold in pools and 2.3-fold in riffles in   the initial 5-month post-decline period, with the magnitude of these   changes dampening slightly to a 2-fold increase in pools and 1.9-fold   increase in riffles over pre-decline levels after 3years (P<0.05 for   differences at 5months and 3years). There were initial increases   (P<0.05) in Chl a:AFDM ratios 5months after the decline, but ratios had   returned to pre-decline levels after 3years.   Algal food quality (as C/N) increased slightly, but not significantly,   during the initial 5-month post-decline period and remained constant   over 3years. Mean delta N-15 in biofilms in pool habitat (measured over   the reach scale) was significantly depleted initially following tadpole   declines and remained significantly depleted 3years after the decline   (4.34 parts per thousand pre- versus 3.24 parts per thousand post-;   P<0.05), suggesting that the loss of tadpoles reduced N recycling.   Increases in abundance and production of some grazing macroinvertebrate   taxa after the decline may have contributed to the gradual reduction in   the difference between initial and longer-term post-decline algal   biomass. However, algal biomass was still 2-fold greater than   pre-decline levels after 3years, indicating that grazing   macroinvertebrates did not fully compensate for the loss of tadpoles.",118,YES,IF,,YES,,,
"Fabrice Pernet, Jean Barret, Claire Marty, Jeanne Moal, Patrik Le Gall, Pierre Boudry",2010,"Environmental anomalies, energetic reserves and fatty acid modifications   in oysters coincide with an exceptional mortality event",MARINE ECOLOGY PROGRESS SERIES,129-146,129-146,10.3354/meps08407,"Mortality of oysters Crassostrea gigas occurred along the coasts of   France during summer 2008, causing a serious crisis in French oyster   production. During spring to summer 2008, 5 groups of 1-yr old oysters   of different origins and ploidy levels deployed in the Thau lagoon   (France) were sampled for biometrical and biochemical analyses;   environmental parameters were monitored in the same area. Mortality   occurred in 2 episodes: 13 May to 10 June and 24 June to 9 July.   Wild-collected oysters showed mortality sooner than other groups but   total overall mortality was 85\% in all groups. Mortality occurred when   seawater temperature was >19 degrees C during the reproductive season   when energetic reserves of oysters were at their lowest. Energy reserve   levels and mortality in oysters seemed to be independent of reproductive   effort, and most likely reflected an unusual deficit in phytoplankton.   The level of bacterial fatty acids in oysters increased markedly before   the second mortality event, probably indicating an enhancement of the   microbial loop or decomposition processes. At the same time,   unsaturation of oyster fatty acids decreased, suggesting a diet change,   acclimatization to increasing temperature or, most likely, oxidative   damage clue to an enhanced production of reactive oxygen species, which   are often associated with stressful situations. Wild-collected and   hatchery-produced oysters, which exhibited different mortality patterns,   showed persistent differences in fatty acid (20:5n-3 and 22:6n-3)   content in their membrane, despite the fact that they were reared in the   same environment. Mortality started when fatty acid 20:4n-6 content   increased to similar to 3\% in the polar lipids, suggesting that this   ratio could make a useful indicator of mortality risk. Finally, the 2008   mortality event coincided with a nationwide increase of similar to 1.5   degrees C in winter seawater temperature, which may impact the oyster   and its pathogens.",119,NO,IF,effect on host traits,,,,
"Michael C. Fontaine, Frederic Austerlitz, Tatiana Giraud, Frederic Labbe, Daciana Papura, Sylvie Richard-Cervera, Francois Delmotte",2013,Genetic signature of a range expansion and leap-frog event after the   recent invasion of Europe by the grapevine downy mildew pathogen   Plasmopara viticola,MOLECULAR ECOLOGY,2771-2786,2771-2786,10.1111/mec.12293,"Biologic invasions can have important ecological, economic and social   consequences, particularly when they involve the introduction and spread   of plant invasive pathogens, as they can threaten natural ecosystems and   jeopardize the production of human food. Examples include the grapevine   downy mildew, caused by the oomycete Plasmopara viticola, an invasive   species native to North America, introduced into Europe in the 1870s. We   investigated the introduction and spread of this invasive pathogen, by   analysing its genetic structure and diversity in a large sample from   European vineyards. Populations of P.viticola across Europe displayed   little genetic diversity, consistent with the occurrence of a bottleneck   at the time of introduction. Bayesian coalescent analyses revealed a   clear population expansion signal in the genetic data. We detected a   weak, but significant, continental-wide population structure, with two   geographically and genetically distinct clusters in Western and Eastern   European vineyards. Approximate Bayesian computation, analyses of clines   of genetic diversity and of isolation-by-distance patterns provided   evidence for a wave of colonization moving in an easterly direction   across Europe. This is consistent with historical reports, first   mentioning the introduction of the disease in Bordeaux vineyards   (France) and sub-sequently documenting its rapid spread across Europe.   This initial introduction in the west was probably followed by a   leap-frog' event into Eastern Europe, leading to the formation of the   two genetic clusters we detected. This study shows that recent   population genetics methods within the Bayesian and coalescence   frameworks are extremely powerful for increasing our understanding of   pathogen population dynamics and invasion histories.",120,NO,IF,,,,,
"Tom O. Delmont, Cedric Malandain, Emmanuel Prestat, Catherine Larose, Jean-Michel Monier, Pascal Simonet, Timothy M. Vogel",2011,Metagenomic mining for microbiologists,ISME JOURNAL,1837-1843,1837-1843,10.1038/ismej.2011.61,"Microbial ecologists can now start digging into the accumulating   mountains of metagenomic data to uncover the occurrence of functional   genes and their correlations to microbial community members. Limitations   and biases in DNA extraction and sequencing technologies impact sequence   distributions, and therefore, have to be considered. However, when   comparing metagenomes from widely differing environments, these   fluctuations have a relatively minor role in microbial community   discrimination. As a consequence, any functional gene or species   distribution pattern can be compared among metagenomes originating from   various environments and projects. In particular, global comparisons   would help to define ecosystem specificities, such as involvement and   response to climate change (for example, carbon and nitrogen cycle),   human health risks (eg, presence of pathogen species, toxin genes and   viruses) and biodegradation capacities. Although not all scientists have   easy access to high-throughput sequencing technologies, they do have   access to the sequences that have been deposited in databases, and   therefore, can begin to intensively mine these metagenomic data to   generate hypotheses that can be validated experimentally. Information   about metabolic functions and microbial species compositions can already   be compared among metagenomes from different ecosystems. These   comparisons add to our understanding about microbial adaptation and the   role of specific microbes in different ecosystems. Concurrent with the   rapid growth of sequencing technologies, we have entered a new age of   microbial ecology, which will enable researchers to experimentally   confirm putative relationships between microbial functions and community   structures. The ISME Journal (2011) 5, 1837-1843;   doi:10.1038/ismej.2011.61; published online 19 May 2011",121,NO,IF,,,,,
Rodrick Wallace,2016,The metabolic economics of environmental adaptation,ECOLOGICAL MODELLING,48-53,48-53,10.1016/j.ecolmodel.2015.11.017,"Applying biological versions of the Data Rate Theorem and the Arrhenius   reaction rate relation, it becomes clear that the search-and-response   feedback of developmental selection associated with phenotypic   plasticity requires a significant rate of metabolic free energy. Too   rapid change in environmental conditions, often coupled with decline in   available sources of metabolic free energy, leads to highly punctuated   local extinction events. The observed dynamic is likely to be that the   animal seems to adapt to environmental alterations for a long time, but   then, and quite suddenly, developmental selection fails, leading to   local extirpation of the reproducing population. Conversely, mosaicking,   by imposing selection demands associated with diversity in time, space,   and mode - as in traditional and conservation agricultures - can create   energy barriers limiting the evolution and spread of pest or pathogen   populations. (C) 2015 Elsevier B.V. All rights reserved.",122,NO,IF,,,,,
"Filipa Tavares, Otto Fraenzle, Felix Mueller, Claus-G. Schimming",2010,Long-Term Ecosystem Research in a Beech Forest of Northern Germany,NA,253-261,253-261,10.1007/978-90-481-8782-9\_18,"In Central Europe, damage of forests has been clearly identified to be   caused by atmospheric deposition of acidifying air pollutants and   eutrophicating amounts of nitrogen. The rapidly growing public concern   about this phenomenon induced numerous studies particularly in Germany   already in the 1970s and 1980s, which produced an impressive number of   pertinent botanical, parasitological, pedological and geographical   information. In general, however, focus was on specific aspects of   forest decline, which not infrequently led to monocausal explanations.   The concept of the interdisciplinary and transdisciplinary Bornhoved   ecosystem research programme reflects basic principles of scientifically   based programmes of environmental observation. The general aim of the   Bornhoved Project was to study ecosystem structure and evolution in a   highly complex landscape of the North German Plain. Twenty years of   high-resolution time-series of pertinent meteorological, hydrological,   biological and pedological data on the energy and material fluxes of the   Bornhoved beech stands are available for both monitoring purposes and as   a basis for ecosystem theory building. Atmospheric deposition and   element behaviour in the soil solution exhibit distinct trends and   periodicities in biogeochemical transfer processes in relation to the   water use of the ecosystems. Efficiency measures such as the   transpiration/evapotranspiration ratio, element fluxes or budgets and   the stoichiometric definition of elemental imbalances have proved to be   commendable indicators.",123,NO,IF,,,,,
"M. Vogt, M. Steinke, S. Turner, A. Paulino, M. Meyerhoefer, U. Riebesell, C. LeQuere, P. Liss",2008,Dynamics of dimethylsulphoniopropionate and dimethylsulphide under   different CO2 concentrations during a mesocosm experiment,BIOGEOSCIENCES,407-419,407-419,10.5194/bg-5-407-2008,"The potential impact of seawater acidification on the concentrations of   dimethylsulfide (DMS) and dimethylsulfoniopropionate (DMSP), and the   activity of the enzyme DMSP-lyase was investigated during a pelagic   ecosystem CO2 enrichment experiment (PeECE III) in spring 2005. Natural   phytoplankton blooms were studied for 24 days under present, double and   triple partial pressures of CO2 (pCO(2); pH=8.3, 8.0, 7.8) in triplicate   25 m(3) enclosures. The results indicate similar DMSP concentrations and   DMSP-lyase activity (DLA) patterns for all treatments. Hence, DMSP and   DLA do not seem to have been affected by the CO2 treatment. In contrast,   DMS concentrations showed small but statistically significant   differences in the temporal development of the low versus the high CO2   treatments. The low pCO(2) enclosures had higher DMS concentrations   during the first 10 days, after which the levels decreased earlier and   more rapidly than in the other treatments. Integrated over the whole   study period, DMS concentrations were not significantly different from   those of the double and triple pCO(2) treatments. Pigment and   flow-cytometric data indicate that phytoplanktonic populations were   generally similar between the treatments, suggesting a certain   resilience of the marine ecosystem under study to the induced pH   changes, which is reflected in DMSP and DLA. However, there were   significant differences in bacterial community structure and the   abundance of one group of viruses infecting nanoeukaryotic algae. The   amount of DMS accumulated per total DMSP or chlorophyll-a differed   significantly between the present and future scenarios, suggesting that   the pathways for DMS production or bacterial DMS consumption were   affected by seawater pH. A comparison with previous work (PeECE II)   suggests that DMS concentrations do not respond consistently to pelagic   ecosystem CO2 enrichment experiments.",124,MAYBE,IF,DMS -- does not count as biogeochemistry? trace amounts,NO,data on PP but not on ecosystem processes affected by PP,,does not contain data on ecosystem process
"E. Fouilland, A. Trottet, C. Alves-de-Souza, D. Bonnet, T. Bouvier, M. Bouvy, S. Boyer, L. Guillou, E. Hatey, H. Jing, C. Leboulanger, E. Le Floc'h, H. Liu, S. Mas, B. Mostajir, J. Nouguier, D. Pecqueur, E. Rochelle-Newall, C. Roques, C. Salles, M. -G. Tournoud, C. Vasseur, F. Vidussi",2017,Significant Change in Marine Plankton Structure and Carbon Production   After the Addition of River Water in a Mesocosm Experiment,MICROBIAL ECOLOGY,289-301,289-301,10.1007/s00248-017-0962-6,"Rivers are known to be major contributors to eutrophication in marine   coastal waters, but little is known on the short-term impact of   freshwater surges on the structure and functioning of the marine   plankton community. The effect of adding river water, reducing the   salinity by 15 and 30\%, on an autumn plankton community in a   Mediterranean coastal lagoon (Thau Lagoon, France) was determined during   a 6-day mesocosm experiment. Adding river water brought not only   nutrients but also chlorophyceans that did not survive in the brackish   mesocosm waters. The addition of water led to initial increases (days   1-2) in bacterial production as well as increases in the abundances of   bacterioplankton and picoeukaryotes. After day 3, the increases were   more significant for diatoms and dinoflagellates that were already   present in the Thau Lagoon water (mainly Pseudo-nitzschia spp. group   delicatissima and Prorocentrum triestinum) and other larger organisms   (tintinnids, rotifers). At the same time, the abundances of   bacterioplankton, cyanobacteria, and picoeukaryote fell, some nutrients   (NH4 (+), SiO4 (3-)) returned to pre-input levels, and the plankton   structure moved from a trophic food web based on secondary production to   the accumulation of primary producers in the mesocosms with added river   water. Our results also show that, after freshwater inputs, there is   rapid emergence of plankton species that are potentially harmful to   living organisms. This suggests that flash flood events may lead to   sanitary issues, other than pathogens, in exploited marine areas.",125,NO,IF,,,,,
"Mark J. Hovenden, Amity L. Williams",2010,The impacts of rising CO2 concentrations on Australian terrestrial   species and ecosystems,AUSTRAL ECOLOGY,665-684,665-684,10.1111/j.1442-9993.2009.02074.x,"The increasing atmospheric concentration of carbon dioxide ([CO2])   contributes to global warming and the accompanying shifts in climate.   However, [CO2] itself has the potential to impact on Australia's   terrestrial biodiversity, due to its importance in the photosynthetic   process, which underlies all terrestrial food webs. Here, we review our   knowledge regarding the impacts of elevated [CO2] on native   terrestrial species and ecosystems, and suggest key areas in which we   have little information on this topic. Experimental information exists   for 70 (or less than 0.05\%) of Australia's native terrestrial plant and   animal species. Of these, 68 are vascular plants. The growth of   Australian woody species is more reliably increased by elevated [CO2]   than it is in grasses. At the species level, the most overwhelming   responses to increased [CO2] are a reduction in plant nitrogen   concentration and an increase in the production of secondary   metabolites. This is of particular concern for Australia's unique   herbivorous and granivorous marsupials, for which no information is   available. While many plant species also displayed increased growth   rates at higher [CO2], this was far from universal, indicating that   changes in community structure and function are likely, leading to   alterations of habitat quality. Future research should be directed to   key knowledge gaps including the relationship between [CO2], fire   frequency and fire tolerance and the impacts of increasing [CO2] for   Australia's iconic browsing mammals. We also know virtually nothing of   the impacts of the increasing [CO2] on Australia's unique shrublands   and semi-arid/arid rangelands. In conclusion, there is sufficient   information available to be certain that the increasing [CO2] will   affect Australia's native biodiversity. However, the information   required to formulate predictions concerning the long-term future of   almost all organisms is far in excess of that currently available.",126,NO,IF,,,,,
