ID,author,title,Pathogen kingdom,pathogen.kingdom.notes,Host kingdom,host kingdom notes,System,System.2,System.2.simplified,PP to ecosystem fxn,PP abundance,PP morbidity,PP to host infection prevalence / intensity,PP to abund biomass,PP to morbidity,PP to unknown,abund biomass to ecosystem fxn,morbidity to ecosystem fxn,unknown to ecosystem fxn,ecosystem fxn to PP,abiotic or biotic,location,note,experimental (PP manipulation or mimic) (1) observational (2) both (3),process vs. standing stock vs. both,process vs. standing stock notes,highest observational scale (species vs. community/ecosystem) of ecosystem impact,type of manipulation or comparison,spatial scale,coordinates in paper,date processed,time start,time end,time elapsed,exclude,reason for excluding
1334,Healey,Root disease can rival fire and harvest in reducing forest carbon   storage,not reported,,plant,,terrestrial,forest,,0,0,0,0,1,0,0,1,0,0,0,0,"Lolo, Bitterroot, Nez PerceClearwater,
Idaho Panhandle, Kootenai, and
Flathead National Forests, Rocky Mountains, U.S.",includes comparison to other disturbance types,2,process,process (stock over time),ecosystem,"prediction of carbon storage loss due to root disease, fire, insects, harvest",5342 plots over 6 million hectares,0,9/10,15:42,16:03,0:21:00,,
1344,Bertrand,Estimating the feeding range of a mobile consumer in a river-flood plain   system using delta C-13 gradients and parasites,animal,,animal,,aquatic,lake,,0,0,0,1,0,1,0,0,1,0,0,1,"Lake St. Pierre, Quebec, Canada",species because one species of perch for which parasite data are presented,2,stock,stock,species,parasitological and isotopic analysis in relation to fish age class,6 sampling locations in one lake,1,9/10,16:23,16:40,0:17:00,,
1352,Reid,Native and exotic foundation grasses differ in traits and responses to   belowground tri-trophic interactions,animal,,plant,,terrestrial,sand dune,,0,0,0,0,1,1,0,1,0,0,0,1,"seeds collected from western MI, USA",assemblage because exotic and native species,1,stock,stock,assemblage,greenhouse experiment on effects of AMF and parasite nematode on exotic vs. native plant,80 pots in greenhouse,0,9/10,16:43,17:06,0:23:00,,
1290,Mosbacher,Impacts of eriophyoid gall mites on arctic willow in a rapidly changing   Arctic,animal,,plant,,terrestrial,heath,,0,0,0,0,1,1,0,1,1,0,0,1,"Zackenberg Research Station,
Northeast Greenland",species because one host plant species,2,stock,stock,species,lab assays with field-collected samples,"plots up to 1.2 m x 1.2 m, in four vegetation types",1,9/10,17:10,17:33,0:23:00,,
974,Scalon,Leaf morphophysiology of a Neotropical mistletoe is shaped by seasonal   patterns of host leaf phenology,plant,,plant,,terrestrial,savanna,,1,0,0,0,0,0,0,0,0,0,0,1,Cerrado site in 35 km south of Brasília in the Federal District of Brazil,species bc single mistletoe; no control for hosts hence not including measures from hosts,2,process,process,species,field assays comparing host and PP physiology -- mistletoes on multiple hosts,"sampled 10 mistletoes, 5 each on two host species",1,9/12,11:45,12:08,0:23:00,,
1000,Forge,"Compost and poultry manure as preplant soil amendments for red   raspberry: Comparative effects on root lesion nematodes, soil quality   and risk of nitrate leaching",animal,,plant,,terrestrial,agricultural,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"dazomet acts as herbicide, fungicide, and nematicide -- can't tell effects of fumigant on PP vs. symbionts"
1026,Grewell,Hemiparasites generate environmental heterogeneity and enhance species   coexistence in salt marshes,plant,,plant,,terrestrial,salt marsh,,0,0,0,0,1,0,1,1,0,1,0,1,"northern CA, USA ",ecosystem because soil conditions,1 (parasite removal),stock,stock,ecosystem,monitor biogeochemical cycles (salinity and redox) and plant community composition in control and PP removal plots,1 m2 plots,1,9/12,12:52,13:13,0:21:00,,
1047,MacLeod,Interactive effects of parasitic infection and ocean acidification on   the calcification of a marine gastropod,animal,,animal,,aquatic,marine intertidal,,0,0,0,0,1,1,0,1,0,0,0,1,"Lower Portobello Bay, New Zealand",species because measured in one snail,2 (experimental manipulation of non-PP factors with naturally infected or ininfected snails),both,both,species,"lab experiment on effects of ocean acidification on snail growth, with infected and uninfected snails",chambers 8 cm height X 8.5 cm diameter,1,9/12,13:41,13:57,0:16:00,,
669,Iltis,Parasitism may alter functional response comparisons: a case study on   the killer shrimp Dikerogammarus villosus and two non-invasive   gammarids,fungus,microsporidian (fungi),animal,,aquatic,river,,0,0,0,0,0,1,0,0,1,0,0,1,Seine river,authors didn't look for PP in native amphipods,2 (experimental manipulation of non-PP factors with naturally infected or uninfected amphipods),stock,stock (number of prey killed over fixed time),species,lab experiment on functional response of invasive amphipid (infected vs. uninfected) vs. native amphipods,plastic dishes 200 ml,1,9/12,15:19,15:45,0:26:00,,
1600,Mellado,Parasites structuring ecological communities: The mistletoe footprint in   Mediterranean pine forests,plant,,plant,,terrestrial,forest (pineland),,0,0,0,0,1,0,1,1,0,1,0,1,"Natural Park of Sierra de Baza, south-eastern
Spain",,2 (observation of naturally parasitized or non-P plants and areas),stock,stock,ecosystem,"comparison of soil nutrient, seed rain, seed predation, seedling establishment, plant recruitment, growth under parasitized vs. non-parasitized plants","125 focal trees of host species, paired trees 40-80m apart",1,9/12,15:46,16:07,0:21:00,,
1927,Duffy,Unhealthy herds: indirect effects of predators enhance two drivers of disease spread,fungus,,animal,,aquatic,lake,,,,,,,,,,,,,,Daphnia dentifera collected from temperate North America,,,,,,,,0,9/12,16:10,NA,,1,"kairomone-induced size increases (from exposure to predator), not effects of PP on size "
304,Cobb,Ecosystem transformation by emerging infectious disease: loss of large   tanoak from California forests,fungus,,plant,,terrestrial,forest,temperate forest,0,0,0,0,1,0,0,1,0,0,0,1,"California, USA",species bc only tanoak; did not include model projections,2,stock,stock,species,"comparison of survival and size distribution in relation to site characteristics (density of infected tanoak, etc.)","205 circular plots of 500 m2, separated by 100 m, in two sites (invaded, uninvaded)",0 (appendix?),9/12,16:58,17:14,0:16:00,,
315,Garnas,Subcontinental impacts of an invasive tree disease on forest structure   and dynamics,fungus,,plant,,terrestrial,forest,,0,0,0,0,1,0,0,1,0,0,0,1,range of American Beech in U.S. ," information on size of smallest size class is in supplementary info, can also be inferred from ""two beech stems larger than 10 cm diameter"")",2,stock,stock,assemblage,comparison of size distribution of beech and sugar maple in relation to time of infection of beech bark disease,"range of American Beech in US; subset of 125,000 plots",0,9/12,17:19,17:43,0:24:00,,
